year,bat_first,bat_second,result,innings,over,bat_first_wp,bat_second_wp
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,1,38.39,61.61
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,2,35.61,64.39
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,3,32.92,67.08
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,4,41.26,58.74
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,5,50.12,49.88
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,6,41.26,58.74
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,7,42.71,57.29
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,8,41.26,58.74
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,9,39.82,60.18
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,10,48.63,51.37
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,11,35.61,64.39
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,12,39.82,60.18
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,13,44.18,55.82
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,14,50.12,49.88
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,15,48.63,51.37
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,16,53.09,46.91
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,17,39.82,60.18
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,18,39.82,60.18
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,19,38.39,61.61
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),1,20,47.14,52.86
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,1,51.42,48.58
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,2,43.59,56.41
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,3,43.98,56.02
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,4,48.63,51.37
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,5,46.39,53.61
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,6,52.46,47.54
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,7,71.07,28.93
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,8,74.52,25.48
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,9,67.2,32.8
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,10,50.46,49.54
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,11,54.69,45.31
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,12,58.88,41.12
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,13,38.82,61.18
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,14,45.67,54.33
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,15,64.95,35.05
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,16,44.86,55.14
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,17,17.04,82.96
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,18,40.23,59.77
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,19,11.91,88.09
2008,CSK,RR,RR won by 3 runs (with 0 balls remaining),2,20,0,100
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,1,43.86,56.14
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,2,48.91,51.09
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,3,40.15,59.85
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,4,33.1,66.9
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,5,27.74,72.26
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,6,27.74,72.26
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,7,43.86,56.14
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,8,45.12,54.88
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,9,38.94,61.06
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,10,33.1,66.9
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,11,26.73,73.27
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,12,23.85,76.15
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,13,22.06,77.94
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,14,22.94,77.06
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,15,37.74,62.26
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,16,37.74,62.26
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,17,33.1,66.9
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,18,33.1,66.9
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,19,33.1,66.9
2009,DCH,RCB,Deccan Chargers won by 6 runs,1,20,29.82,70.18
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,1,34.37,65.63
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,2,35.66,64.34
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,3,26.3,73.7
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,4,34.73,65.27
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,5,25.62,74.38
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,6,32.48,67.52
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,7,37.74,62.26
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,8,27.54,72.46
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,9,31.6,68.4
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,10,23.51,76.49
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,11,18.92,81.08
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,12,35.44,64.56
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,13,21.74,78.26
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,14,18.26,81.74
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,15,33.78,66.22
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,16,49.66,50.34
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,17,80.17,19.83
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,18,94.13,5.87
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,19,95.55,4.45
2009,DCH,RCB,Deccan Chargers won by 6 runs,2,20,100,0
2010,CSK,MI,CSK won by 22 runs,1,1,49.51,50.49
2010,CSK,MI,CSK won by 22 runs,1,2,41.63,58.37
2010,CSK,MI,CSK won by 22 runs,1,3,41.63,58.37
2010,CSK,MI,CSK won by 22 runs,1,4,40.53,59.47
2010,CSK,MI,CSK won by 22 runs,1,5,42.74,57.26
2010,CSK,MI,CSK won by 22 runs,1,6,47.24,52.76
2010,CSK,MI,CSK won by 22 runs,1,7,41.63,58.37
2010,CSK,MI,CSK won by 22 runs,1,8,32.15,67.85
2010,CSK,MI,CSK won by 22 runs,1,9,31.17,68.83
2010,CSK,MI,CSK won by 22 runs,1,10,34.16,65.84
2010,CSK,MI,CSK won by 22 runs,1,11,35.19,64.81
2010,CSK,MI,CSK won by 22 runs,1,12,27.42,72.58
2010,CSK,MI,CSK won by 22 runs,1,13,34.16,65.84
2010,CSK,MI,CSK won by 22 runs,1,14,38.36,61.64
